Listing ID,Listing Title,Page Name,Amount Per Stay
1653198,Da Casa Business Hotel,da-casa-business,N/A
11704514,Hotel Padma Krishna,padma-krishna,N/A
794529,Hotel Gandharva Shivajinagar,gandharv-residency,N/A
1165454,Hotel Swan Inn,swan-inn,N/A
12810901,Super Townhouse Oak JM Road formerly Krishna presidency,capital-o-17108-krishna-presidency,N/A
12467692,Hotel Sayba Executive,sayba-executive,N/A
12899395,Hotel Royal Palace PUNE,royal-palace-corporate,N/A
7246943,Collection O Pearl Near Shaniwar Wada,oyo-collection-o-80421-pearl,N/A
5414987,Hotel Rose Lodge,rose-lodge,N/A
12340853,FabHotel Royal Palace Inn - Lal Mahal,royal-palace-pune1,N/A
9185211,Malwade Motel,malwade-motel,N/A
2149472,FabExpress Karishma - Nr KEM Hospital,karishma-pune,N/A
6841784,Collection O Kapil Residency Parage Chowk Near Lal Mahal,collection-o-76358-kapil-residency-parage-chowk,N/A
3117343,FabExpress Gargi Executive - Shaniwar wada,oyo-11545-gargi-executive-pune12345,N/A
10731220,FabHotel Gargi Suites Shivajinagar,fabhotel-gargi-suites-shivajinagar,N/A
6850674,Collection O Rajdhani Near Lal Mahal,collection-o-30070-rajdhani,N/A
6789876,Hotel Radhika Pune,radhika-pune,N/A
544141,MY Bizz Hotel Sapna,sapna,N/A
2443384,Hotel Parag,parag-pune,N/A
12946835,FabHotel Olive Suite,fabhotel-olives-suites,N/A
6211975,Super Hotel O Sunshine Inn Near Pune Railway Station,oyo-70715-sunshine-inn,N/A
10708220,Hotel Laxminarayan Niwas,laxminarayan-niwas,N/A
9752040,FabHotel Rachana Residency - 100 meter away from Shivaji Nagar Metro Station and Railway Station,rachana-residency,N/A
10501550,Townhouse Oak Orchard Hotel,orchard-pune2,N/A
1105132,Hotel Rajmandir,rajmandir-pune,N/A
5278458,Hotel Centro,centro,N/A
5541630,Hotel Nandanvan Annexe,nandanvan,N/A
544403,Orbett Hotel,orbett,N/A
1301492,Tarawade Clarks Inn Pune,tarawade-clarks-inn-pune,N/A
4000029,Super Hotel O River View Near Shaniwar Wada,oyo-14929-river-view,N/A
1126887,Rutugandh Heritage,rutugandh-heritage,N/A
1060462,Hotel Shreyas,shreyas-pune,N/A
13229231,Malhar Guest House,malhar-guest-house-pune,N/A
13470512,1BHK Service Apartment 19,1bhk-service-apartment-19,N/A
12378044,Hotel Tushar,tushar-pune3,N/A
13097320,Hotel Everest Regency Pune,everest-regency-pune,N/A
241756,Shantai Hotel,shantai,N/A
253136,Pride Hotel Pune,best-western-the-pride-pune,N/A
1476294,Rapid Lakme Executive Hotel,fabhotel-fc-road,N/A
4437356,Maurya Residency,maurya-residency-pune,N/A
1440749,Hotel Ketan,ketan-pune,N/A
2132196,Itsy Hotels Hill View Ex,hill-view-executive,N/A
11387418,The Ambassador Hotel Pune,the-ambassador-pune-pune,N/A
74050,Sheraton Grand Pune Bund Garden Hotel,sheraton-grand-pune,N/A
8333878,Hotel Gargi Deluxe,capital-o-87843-gargi-deluxe,N/A
12844048,"Hotel Ashoka, Pune",ashoka-pune,N/A
9012461,Hotel Mukesh Residency,m-r-residency-pune,N/A
1429551,Hotel Shivam,shivam,N/A
13247695,"The Fern Residency Woodland, Pune",the-fern-residency-woodland-pune,N/A
1994086,The Samrat Hotel near Pune Railway Station,the-samrat-pune,N/A
